,Wind Farm,Region,Power per Turbine (MW),No. Turbines Installed,Installed Capacity (MW),Year Online,Developer,Operator,Owner,Country,lat,long,Wind Farm count,Turbine Manufacturer,Turbine Model,State
59,Loftsome Bridge Water Treatment Works,East Yorkshire,1.3,2,2.6,2008,Yorkshire Water Services,not reported,not reported,England,53.75722,-0.93778,1,Nordex,N60,United Kingdom
60,Out Newton,East Riding of Yorkshire,1.3,7,9.1,2002,E.ON UK Renewables,E.ON Renewables,E.ON Renewables,England,53.6675,-0.10111,1,Bonus,B1300,United Kingdom
61,Bristol Port,Gloucestershire,2,8,16,2007,Ecotricity,Ecotricity,Ecotricity,England,51.49444,-2.68556,1,Enercon,E82,United Kingdom
62,Little Cheyne Court,Kent,2.3,26,59.8,2009,npower renewables,not reported,not reported,England,50.9625,0.82028,1,Nordex,N90,United Kingdom
63,Caton Moor Repowering,Lancashire,2,8,16,2006,Hainsford Energy,Triodos Renewables,Triodos Renewables,England,54.06083,-2.65694,1,REpower,MM70,United Kingdom
64,Coal Clough,Lancashire,0.4,24,9.6,1992,RES,B9 Energy,"Scottish Power, SWEB, RES",England,53.74861,-2.1675,1,Vestas,WD34,United Kingdom
65,Scout Moor,Greater Manchester & Lancashire,2.5,26,65,2008,Peel Wind Power Ltd,not reported,Peel Wind Power Ltd,England,53.66694,-2.27389,1,Nordex,N80,United Kingdom
66,WWP Hameldon Hill,Lancashire,1.5,3,4.5,2007,npower renewables,Innogy,Innogy,England,53.78861,-2.16083,1,MD,70/77,United Kingdom
67,Hyndburn,Lancashire,2.05,12,24.6,2012,Energiekontor,not reported,not reported,England,53.71444,-2.38611,1,REpower,MM82,United Kingdom
68,Swinford,Leicestershire,2,11,22,2012,Vattenfall,Vattenfall,Vattenfall,England,52.42,-1.17,1,Vestas,V90,United Kingdom
69,Bagmoor,Lincolnshire,2,8,16,2009,Wind Prospect / Ridgewind,not reported,not reported,England,53.63722,-0.63278,1,REpower,MM92,United Kingdom
70,Bambers Farm,Lincolnshire,0.6,8,4.8,2004,Ecotricity,Ecotricity,Ecotricity,England,53.32889,0.25083,1,Enercon,E44,United Kingdom
71,Bambers Farm II,Lincolnshire,0.6,6,4.8,2006,Ecotricity,Ecotricity,Ecotricity,England,53.3275,0.24028,1,Enercon,E48,United Kingdom
72,Bicker Fen,Lincolnshire,2,13,26,2008,Wind Prospect,Cumbria Wind Farms,EDF EN,England,52.92611,-0.21639,1,REpower,MM82,United Kingdom
73,Conisholme Fen Resubmission,Lincolnshire,0.8,20,16,2008,Ecotricity,Ecotricity,Ecotricity,England,53.42556,-0.08,1,Enercon,E48,United Kingdom
74,Deeping St Nicholas,Lincolnshire,2,8,16,2006,Wind Prospect,Cumbria Wind Farms,Fenland Windfarms Ltd,England,52.73278,-0.21694,1,REpower,MM82,United Kingdom
75,Gedney Marsh (Red House),Lincolnshire,2,6,12,2006,Wind Prospect,REG Windpower,EDF EN,England,52.83972,-0.10667,1,REpower,MM82,United Kingdom
76,Mablethorpe,Lincolnshire,0.6,2,1.2,2002,Ecotricity,Ecotricity,Ecotricity,England,53.3275,0.24028,1,Enercon,E40,United Kingdom
77,The Hollies,Lincolnshire,1.3,2,2.6,2008,WindWorks,Innogy,Innogy,England,53.12944,0.24806,1,Nordex,N60,United Kingdom
78,Dagenham,London,1.8,2,3.6,2004,Ecotricity,Ecotricity,Ecotricity,England,51.52167,0.15056,1,Enercon,E66,United Kingdom
79,Mersey Docks,Merseyside,2.5,4,10,2008,Peel Wind Power Ltd,Wind Prospect,not reported,England,53.45861,-3.03028,1,Nordex,N90,United Kingdom
80,Royal Seaforth Dock,Merseyside,0.6,6,3.6,1999,Peel Wind Power Ltd,Peel Wind Power Ltd,Peel Wind Power Ltd,England,53.45861,-3.03028,1,Vestas,V44,United Kingdom
81,Blood Hill,Norfolk,0.225,10,2.25,1992,E.ON UK Renewables,E.ON Renewables,E.ON Renewables,England,52.71139,1.6675,1,Vestas,V27,United Kingdom
82,Jack's Lane,Norfolk,2.5,6,15,2015,RES,RES,RES,England,52.87944,0.72806,1,Nordex,N90,United Kingdom
83,North Pickenham Wind Farm,Norfolk,1.8,8,14.4,2006,Enertrag,Enertrag UK,Enertrag UK,England,52.62611,0.74972,1,Vestas,V90,United Kingdom
84,Chelker Reservoir,North Yorkshire,0.3,4,1.2,1992,Yorkshire Water Services,Yorkshire Water Services,Yorkshire Water Service,England,53.95944,-1.90861,1,WEG,300,United Kingdom
85,"Knabs Ridge, Felliscliffe",North Yorkshire,2,8,16,2008,npower renewables,Innogy,Innogy,England,53.995,-1.64306,1,REpower,MM70,United Kingdom
86,Rusholme,North Yorkshire,2,12,24,2010,Wind Prospect,EDF EN,EDF EN,England,53.72556,-0.92083,1,REpower,MM82,United Kingdom
87,Burton Wold,Northamptonshire,2,10,20,2006,Your Energy,Engineering Renewables,Burton Wold Wind Farm Ltd,England,52.35639,-0.65056,1,Enercon,E70,United Kingdom
88,Blyth Harbour,Northumberland,0.3,9,2.7,1993,AMEC Wind,SKM,Hainsford Energy (Blyth Harbour) Limited,England,55.12222,-1.49028,1,WindMaster,WM28,United Kingdom
89,Green Rigg,Northumberland,2,18,36,2012,EdF,EDF EN,EDF Energy,England,55.09889,-2.19861,1,Vestas,V80,United Kingdom
90,Kirkheaton,Northumberland,0.6,3,1.8,2000,EdF,Cumbria Wind Farms,EDF Energy,England,55.08278,-1.99056,1,Nordex,N43,United Kingdom
91,North Steads,Northumberland,2.05,9,18.45,2016,Peel Energy,Ventient Energy,not reported,England,55.266,-1.618,1,Senvion,MM92,United Kingdom
92,Lindhurst,Nottinghamshire,1.8,5,9,2010,RWE Npower Renewables,not reported,not reported,England,53.11611,-1.14667,1,Vestas,V90,United Kingdom
93,Westmill,Oxfordshire,1.3,5,6.5,2008,Energy4All,not reported,Westmill Wind Farm Cooperative Ltd,England,51.61722,-1.66917,1,Siemens,SWT-1.3,United Kingdom
94,Hampole,South Yorkshire,2.05,4,8.2,2014,Good Energy,not reported,not reported,England,53.574,-1.229,1,REpower,MM92,United Kingdom
95,Loscar,South Yorkshire,1.5,3,4.5,2010,REG WINDPOWER,not reported,not reported,England,53.31,-1.24361,1,Acciona,AW1500,United Kingdom
96,Penny Hill,South Yorkshire,3.4,6,20.4,2014,Banks Renewables,not reported,not reported,England,53.38278,-1.28806,1,Senvion,XM3.4,United Kingdom
